ISBN,_id,丛书,作者,关键词,出品方,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9787020092291,5d43fa9e7e62ba2bae19f8e0,神之病历,,都市,99读书人,2012-11,人民文学出版社,书籍,都市治愈系正能量小说,神様のカルテ,神之病历1,25.00元,平装,8.5,473.0,,208
9787540446451,5d43faa37e62ba2bae19f8e1,,沈诗棋,都市,,2010-10-1,湖南文艺出版社,书籍,全世界看过来，北京爱情最最high！最破碎，最纠结，最跌宕的都市欲望实录&情感写真！宁财神、慕容雪村、张亚东、阿Sa……联袂推荐！,,北京朝酒晚舞,26.00元,平装,5.6,123.0,,245
9787508689487,5d43faa47e62ba2bae19f8e2,观潮丛书,[日]宫崎市定,都市,楚尘文化,2018-7,中信出版社,书籍,,東洋的古代,东洋的古代：从都市国家到秦汉帝国,58.00元,精装,8.1,74.0,马云超,308
9787112073641,5d43faa47e62ba2bae19f8e3,国外建筑设计详图图集,隈研吾建筑都市设计事务所编,都市,,2005-5,中国建筑工业出版社,书籍,国外建筑设计详图图集(16),,国外建筑设计详图图集16隈研吾/建筑构造细部,36.00元,平装16开,8.7,294.0,,136
9787550263024,5d43faa57e62ba2bae19f8e4,,[美]大卫·冯,都市,未读,2015-11,北京联合出版公司,书籍,都市型男好品位穿搭指南,MENSWEARDOGPRESENTSTHENEWCLASSICS,柴犬绅士,68.00,精装,8.2,811.0,糸色空,160
9789578654549,5d43faa67e62ba2bae19f8e5,興亡的世界史,[日]陣內秀信,都市,,2019-3,八旗文化,书籍,中世紀城市如何展開空間美學和歷史,イタリア海洋都市の精神,義大利‧海洋城市的精神,NT$550,精装,,,李雨青,400
9787112114573,5d43faa67e62ba2bae19f8e6,,布野修司,都市,,2010-3,中国建筑工业出版社,书籍,,アジア都市建築史,亚洲城市建筑史,39.00元,平装,8.0,38.0,胡惠琴,384
9787519014988,5d43faa77e62ba2bae19f8e7,钢铁侠,[英]基隆·吉伦等,都市,,2016-5,中国文联出版社,书籍,,IronMan,钢铁侠4：钢铁都市,CNY48.00,平装,7.5,29.0,Lu小鱼,
9787560838786,5d43faa77e62ba2bae19f8e8,,张鹏,都市,,2008-12,同济大学出版社,书籍,上海公共租界市政发展与都市变迁研究,,都市形态的历史根基,42.00元,,8.1,59.0,,252
9787565637148,5d43faa77e62ba2bae19f8e9,,[法]亨利·列斐伏尔,都市,,2018-5,首都师范大学出版社,书籍,,,都市革命,48,平装,8.9,23.0,刘怀玉,180
9787508699776,5d43faa77e62ba2bae19f8ea,,[英]乔尔•莫里斯,都市,,2019-5-5,中信出版社,书籍,如何保住饭碗/如何正确请假/如何虚度青春/如何开心变老/如何克服社恐/如何欢庆节日/崩溃自救法则/猫奴为何如此优秀/狗主为何如此幸福,THELADYBIRDBOOKSFORGROWN-UPSSERIES,企鹅都市生存指南,136.00元,,6.3,32.0,刘慧宁,504
9787308165044,5d43faa77e62ba2bae19f8eb,李欧梵作品,李欧梵,都市,,2017-7-15,浙江大学出版社,书籍,一种新都市文化在中国（1930—1945）（修订版）,,上海摩登,60.00元,精装,8.9,107.0,毛尖,500
9787516820759,5d43faa77e62ba2bae19f8ec,单向街/单读,吴琦主编,都市,理想国,2018-9,台海出版社,书籍,单读18,,都市一无所有,48,平装,8.5,486.0,,408
9787100102872,5d43faa77e62ba2bae19f8ed,媒体人类学译丛,[美]布莱恩·拉金,都市,,2014-8,商务印书馆,书籍,尼日利亚的媒体、基础设施与都市文化,SignalandNoise,信号与噪音,34.00元,平装,8.2,39.0,陈静静,386
9787547731079,5d43faa77e62ba2bae19f8ee,,[加]西沃恩·加拉格尔,都市,理想国,2018-9,北京日报出版社/理想国,书籍,都市上班族的每日渡劫和永恒轮回,INADAZEWORK,从早“茫”到晚,49.00元,裸脊,7.5,172.0,冯诺,168
9787301141236,5d43faa77e62ba2bae19f8ef,都市想像与文化记忆丛书,葛飞,都市,,2008-09,北京大学出版社,书籍,1930年代左翼剧运、剧人在上海,,戏剧、革命与都市漩涡,42.00元,平装,8.0,40.0,,365
9787536057333,5d43faa77e62ba2bae19f8f0,,,都市,,2009-7,花城出版社,书籍,（小说版“涩女郎”再揭都市粉红妖孽最深的秘密）,,妖孽，妖孽,26.00元,平装,8.3,193.0,,253
9787533918859,5d43faa77e62ba2bae19f8f1,世纪文存摩登文本,刘呐鸥,都市,,2004-1,浙江文艺出版社,书籍,都市风景线,,都市风景线,14.00元,,7.0,71.0,,162
9787542628152,5d43faa77e62ba2bae19f8f2,,,都市,99读书人,2008-6,上海三联书店,书籍,一种新都市文化在中国1930-1945,Shanghaimodern,上海摩登,38.00元,平装,8.1,426.0,,368
9787563363025,5d43faa77e62ba2bae19f8f3,,布鲁范德,都市,理想国,2006-11,广西师范大学出版社,书籍,美国都市传说及其意义,,消失的搭车客,17.00元,平装,6.9,492.0,李扬,203
