_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43ed8651eceec5c308518e,华驰信息,50-150人,数据分析,2019-07-25,深圳,大专,数据分析师,弹性工作、五险一金、领导Nice,经验3-5年,12k-20k,未融资,金融,8
5d43ed8751eceec5c308518f,字节跳动,2000人以上,数据分析,2019-08-0211:46:00,深圳,本科,数据分析师,六险一金，弹性工作，免费三餐，租房补贴,经验3-5年,20k-40k,C轮,文娱丨内容,9
5d43ed8751eceec5c3085190,观远数据,50-150人,数据分析,2019-07-31,深圳,本科,数据分析师,牛人团队 成长空间 期权激励 独当一面,经验1-3年,15k-30k,A轮,"企业服务,数据服务",9
5d43ed8851eceec5c3085191,风变科技（深圳）有限公司,150-500人,数据分析,2019-07-30,深圳,硕士,数据分析师,驱动开发，团队年轻，牛人指导,经验1-3年,10k-15k,A轮,"移动互联网,教育",9
5d43ed8851eceec5c3085192,乐信,2000人以上,数据分析,2019-07-26,深圳,本科,数据分析师-贷后策略 (MJ000700),上市公司 五险一金 发展空间 团队激励,经验3-5年,18k-25k,上市公司,金融,9
5d43ed8851eceec5c3085193,每日优鲜,2000人以上,数据分析,2019-07-22,深圳,本科,数据分析师,带薪年假、定期体检、弹性工作,经验3-5年,20k-30k,D轮及以上,"移动互联网,电商",9
5d43ed8851eceec5c3085194,人人聚财,2000人以上,数据分析,2019-07-11,深圳,本科,数据分析岗,团队氛围好，发展空间大，专业提升,经验1-3年,8k-15k,A轮,金融,9
5d43ed8851eceec5c3085195,极光,500-2000人,数据分析,2019-08-01,深圳,本科,高级数据分析师（深圳）,"D轮+,14薪+,攻城狮氛围,弹性工作",经验3-5年,15k-25k,上市公司,企业服务,9
5d43ed8951eceec5c3085196,平安产险,2000人以上,数据分析,2019-08-01,深圳,本科,数据分析与挖掘岗,丰厚的年终奖,经验3-5年,15k-25k,上市公司,金融,9
5d43ed8951eceec5c3085197,爱牙邦,150-500人,数据分析,2019-08-0214:54:00,深圳,本科,数据分析工程师,五险一金；节日福利；带薪年假；大小周制；,经验1-3年,15k-20k,B轮,"移动互联网,电商",9
5d43ed8951eceec5c3085198,乐易网络,150-500人,数据分析,2019-08-0210:10:00,深圳,本科,数据分析工程师,"五险一金,年终奖,氛围开放,带薪旅行",经验5-10年,30k-50k,A轮,"移动互联网,游戏",9
5d43ed8951eceec5c3085199,锦绣文博,少于15人,数据分析,2019-07-23,深圳,硕士,大数据分析师,智能制造领域，有开发经验,经验3-5年,15k-25k,未融资,电商 企业服务,9
5d43ed8951eceec5c308519a,喜茶,2000人以上,数据分析,2019-08-0209:50:00,深圳,大专,数据分析经理,待遇好，平台大，氛围好,经验5-10年,10k-15k,B轮,"移动互联网,消费生活",9
5d43ed8951eceec5c308519b,买买提信息科技,150-500人,数据分析,2019-07-30,深圳,本科,数据分析经理,环境好，氛围佳，福利好，上升空间大,经验5-10年,25k-35k,不需要融资,"移动互联网,金融",9
5d43ed8a51eceec5c308519c,深圳妈妈资本,50-150人,数据分析,2019-07-26,深圳,本科,数据分析师,有牛人,经验1-3年,15k-30k,A轮,金融,9
5d43ed8a51eceec5c308519d,即有分期,500-2000人,数据分析,2019-08-0215:15:00,深圳,本科,数据分析主管,多多年假 领导nice,经验1-3年,12k-20k,D轮及以上,金融,9
5d43ed8a51eceec5c308519e,字节跳动,2000人以上,数据分析,2019-08-0211:46:00,深圳,本科,数据分析师-创新工具,六险一金，弹性工作，免费三餐，租房补贴,经验1-3年,20k-40k,C轮,文娱丨内容,10
5d43ed8b51eceec5c308519f,极光,500-2000人,数据分析,2019-08-01,深圳,本科,高级数据分析师,"数据量大,攻城狮氛围,牛人多,弹性工作",经验3-5年,20k-30k,上市公司,企业服务,10
5d43ed8b51eceec5c30851a0,AKULAKU,500-2000人,数据分析,2019-08-0211:52:00,深圳,本科,数据分析工程师,扁平管理，项目好,经验3-5年,15k-30k,D轮及以上,"移动互联网,金融",10
5d43ed8b51eceec5c30851a1,is smart,150-500人,数据分析,2019-07-30,深圳,不限,数据分析工程师,"营销数据实践,服务500强客户",经验1-3年,8k-15k,不需要融资,"移动互联网,企业服务",10
5d43ed8b51eceec5c30851a2,Angsi昂司,500-2000人,数据分析,2019-07-25,深圳,本科,数据分析经理,年轻又耐撕 新零售,经验3-5年,25k-35k,未融资,"电商,消费生活",10
5d43ed8b51eceec5c30851a3,随手科技,500-2000人,数据分析,2019-08-0213:40:00,深圳,本科,高级数据分析师,"节日福利多,涨薪快,平台大,晋升空间大",经验3-5年,15k-30k,C轮,金融,10
5d43ed8b51eceec5c30851a4,Gekko.ai,15-50人,数据分析,2019-07-31,深圳,本科,爬虫/数据分析工程师,"极客精神,前沿技术,空间大,挑战性",经验1-3年,7k-14k,不需要融资,"数据服务,金融",10
