_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业
5d43ea9f51eceec5c30850f1,巨人网络,500-2000人,数据分析,2019-07-25,上海,本科,数据分析师,一流的办公环境 福利待遇优厚 发展平台,经验3-5年,15k-30k,上市公司,游戏
5d43eaa051eceec5c30850f2,亿泽ETBI,50-150人,数据分析,2019-07-15,上海,不限,数据分析,五险一金，年终分红。,经验不限,6k-12k,不需要融资,"数据服务,企业服务"
5d43eaa051eceec5c30850f3,AdMaster,2000人以上,数据分析,2019-07-29,上海,本科,2019校招-数据分析师（社会化媒体）,"发展空间大,福利待遇好,专业化培训,升职迅速",经验应届毕业生,6k-8k,不需要融资,数据服务
5d43eaa051eceec5c30850f4,数道科技,15-50人,数据分析,2019-07-29,上海,本科,数据分析师,"五险一金,免费班车,年终奖",经验1-3年,10k-15k,不需要融资,数据服务
5d43eaa251eceec5c30850f5,平安健康互联网,2000人以上,数据分析,2019-07-17,上海,本科,数据分析经理,上市公司 知名互联网企业,经验5-10年,40k-60k,上市公司,"移动互联网,医疗丨健康"
5d43eaa251eceec5c30850f6,波思代尔,15-50人,数据分析,2019-07-03,上海,硕士,数据分析师,工作地点为线上,经验不限,5k-10k,未融资,"广告营销,文娱丨内容"
5d43eaa251eceec5c30850f7,浙江名天,50-150人,数据分析,2019-07-29,上海,硕士,数据分析师/数据分析专家,薪资高、福利好,经验3-5年,30k-50k,不需要融资,"移动互联网,电商"
5d43eaa251eceec5c30850f8,云鹊医疗,150-500人,数据分析,2019-08-0209:39:00,上海,不限,数据分析实习,有留用机会,经验应届毕业生,3k-4k,不需要融资,"医疗丨健康,移动互联网"
5d43eaa251eceec5c30850f9,吃饱了,15-50人,数据分析,2019-07-22,上海,本科,数据分析师,"美食多多,弹性上班,免费体检，六险一金",经验1-3年,8k-15k,天使轮,"移动互联网,电商"
5d43eaa251eceec5c30850fa,上海众调科技,50-150人,数据分析,2019-07-11,上海,本科,数据分析师,"交通便利,晋升空间,专家氛围,发展前景",经验3-5年,10k-20k,A轮,移动互联网
5d43eaa351eceec5c30850fb,艾大,15-50人,数据分析,2019-07-23,上海,硕士,数据分析师,"专业团队,晋升机会,扁平化管理,带薪年假",经验应届毕业生,8k-16k,未融资,"企业服务,数据服务"
5d43eaa351eceec5c30850fc,鑫源供应链,150-500人,数据分析,2019-07-15,上海,大专,数据分析师,扁平化管理,经验1-3年,8k-15k,不需要融资,物流丨运输
5d43eaa351eceec5c30850fd,Alten China,2000人以上,数据分析,2019-07-09,上海,不限,（资深）数据分析经理,年终奖 五险一金 平台,经验5-10年,20k-40k,上市公司,硬件
5d43eaa351eceec5c30850fe,顺丰科技有限公司,2000人以上,数据分析,2019-08-0210:25:00,上海,硕士,SFJ-大数据挖掘与分析工程师（数据分析方向）,弹性工作时间 发展空间大 午餐补贴,经验3-5年,25k-50k,不需要融资,物流丨运输
5d43eaa351eceec5c30850ff,京东,500-2000人,数据分析,2019-07-15,上海,本科,数据分析师,大平台、福利好、牛人多,经验1-3年,15k-20k,上市公司,"移动互联网,电商"
5d43eaa351eceec5c3085100,麦图科技,15-50人,数据分析,2019-08-01,上海,本科,初级数据分析师（实习岗）,"带薪年假,弹性工作,扁平管理",经验应届毕业生,4k-8k,A轮,数据服务
5d43eaa451eceec5c3085101,上海青悦,少于15人,数据分析,2019-07-29,上海,不限,数据分析实习生,海量数据可供练习,经验应届毕业生,3k-5k,不需要融资,数据服务
5d43eaa451eceec5c3085102,SAS,2000人以上,数据分析,2019-07-27,上海,硕士,数据分析实习,全球最佳雇主,经验应届毕业生,2k-4k,不需要融资,"企业服务,数据服务"
5d43eaa451eceec5c3085103,至数,15-50人,数据分析,2019-08-0209:16:00,上海,不限,初级数据分析师,发展前景好,经验应届毕业生,5k-10k,A轮,"数据服务,硬件"
5d43eaa451eceec5c3085104,平安健康互联网,2000人以上,数据分析,2019-07-17,上海,本科,数据分析经理,上市公司 知名互联网企业,经验5-10年,40k-60k,上市公司,"移动互联网,医疗丨健康"
5d43eaa751eceec5c3085105,收钱吧,500-2000人,数据分析,2019-07-31,上海,本科,风控数据分析,互联网公司氛围 牛逼团队 广阔发展空间,经验1-3年,8k-15k,C轮,移动互联网
5d43eaa751eceec5c3085106,北风网,150-500人,数据分析,2019-08-01,上海,本科,数据分析师讲师,"美女多,不需要加班,交通方便,领导很好",经验3-5年,15k-30k,B轮,"教育,数据服务"
