_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43fb137e62ba2bae19f967,区块节点,50-150人,数据挖掘,2019-08-0210:35:00,北京,本科,数据挖掘工程师,最前沿技术；团队氛围；福利待遇,经验1-3年,15k-30k,不需要融资,移动互联网,2
5d43fb137e62ba2bae19f968,一亩田,150-500人,数据挖掘,2019-08-01,北京,本科,数据挖掘&算法工程师,年终奖 五险一金 团建 期权,经验1-3年,16k-28k,C轮,"移动互联网,电商",2
5d43fb137e62ba2bae19f969,阳光保险集团,2000人以上,数据挖掘,2019-08-0213:57:00,北京,本科,数据挖掘工程师,大平台 团队实力强,经验3-5年,20k-40k,上市公司,"移动互联网,金融",2
5d43fb137e62ba2bae19f96a,佰策科技,150-500人,数据挖掘,2019-08-0214:40:00,北京,本科,数据挖掘工程师（用户画像）,交通便利 福利多多 牛人带队 扁平管理,经验3-5年,20k-40k,A轮,"移动互联网,广告营销",2
5d43fb137e62ba2bae19f96b,绿湾科技,150-500人,数据挖掘,2019-08-0210:28:00,北京,本科,数据挖掘工程师（智慧城市）,全额社保；商业保险；各种补贴；下午茶等,经验3-5年,25k-50k,B轮,"企业服务,数据服务",2
5d43fb147e62ba2bae19f96c,融360,500-2000人,数据挖掘,2019-08-01,北京,硕士,数据挖掘工程师,牛人团队,经验3-5年,25k-50k,上市公司,金融,2
5d43fb147e62ba2bae19f96d,融慧金科,50-150人,数据挖掘,2019-08-0210:55:00,北京,本科,数据挖掘/模型开发工程师,"股权激励,年终奖,餐补,话补",经验1-3年,15k-30k,A轮,"金融,数据服务",2
5d43fb147e62ba2bae19f96e,唯医网,150-500人,数据挖掘,2019-08-0210:58:00,北京,本科,数据挖掘工程师,互联网医疗；发展前景好；医疗大数据；,经验3-5年,25k-50k,B轮,医疗健康,2
5d43fb157e62ba2bae19f96f,车好多集团,2000人以上,数据挖掘,2019-07-31,北京,本科,数据挖掘,六险一金 期权 不打卡,经验5-10年,40k-70k,D轮及以上,消费生活,3
5d43fb157e62ba2bae19f970,妙计旅行,150-500人,数据挖掘,2019-07-31,北京,本科,数据挖掘研究员,大牛带队；上升空间,经验1-3年,20k-40k,B轮,旅游,3
5d43fb157e62ba2bae19f971,每日一淘,150-500人,数据挖掘,2019-07-30,北京,本科,数据挖掘,电商,经验3-5年,29k-55k,不需要融资,"移动互联网,电商",3
