ISBN,_id,丛书,作者,关键词,出品方,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9787536468801,5d43b2e751eceec5c30800ec,世界科幻大师丛书,（美）罗伯特·海因莱因,科幻,科幻世界,2009年10月,四川科学技术出版社,书籍,世界科幻大师丛书,TheManWhoSoldtheMoon,出卖月亮的人,24.00元,平装,8.2,305.0,Denovo,291
9787536481077,5d43b2e851eceec5c30800ed,科幻世界·中国科幻基石丛书,刘慈欣,科幻,科幻世界,2015-6,四川科学技术出版社,书籍,刘慈欣科幻短篇小说集Ⅰ,,带上她的眼睛,34.00,平装,8.6,979.0,,374
9787536474710,5d43b2e851eceec5c30800ee,世界科幻大师丛书,(俄罗斯)阿卡迪·斯特鲁伽茨基,科幻,科幻世界,2013-1,四川科学技术出版社,书籍,世界科幻大师丛书,Пикникнаобочине,路边野餐,15.00元,平装,8.3,430.0,苏宁宁,168
9787302394228,5d43b2e851eceec5c30800ef,原点科幻文库,[美]查尔斯·阿德勒,科幻,,2015-8-10,清华大学出版社,书籍,科幻与奇幻中的物理数学,"Wizards,Aliens,andStarships",巫师、外星人和星舰,59,软精装,8.6,276.0,雒城,328（16开）
9787115283375,5d43b2e851eceec5c30800f0,中国科幻名家名作大系,刘慈欣,科幻,时光幻象,2012-7,人民邮电出版社,书籍,中国科幻名家名作大系（第一辑）,,刘慈欣卷：天使时代,30.00元,平装,8.3,648.0,,244
9787536483286,5d43b2e851eceec5c30800f1,世界科幻大师丛书,,科幻,科幻世界,2016-7,四川科学技术出版社,书籍,迈克·雷斯尼克科幻佳作选,SevenViewsofOlduvaiGorge,奥杜瓦伊峡谷的七个故事,48.00元,平装,8.7,141.0,袁枫,545
9787536466135,5d43b2e851eceec5c30800f2,世界科幻大师丛书,弗诺·文奇,科幻,科幻世界,2009,四川科学技术出版社,书籍,世界科幻大师丛书,MaroonedinRealtime(1986),实时放逐,18.00元,平装,8.5,486.0,胡绍晏,276
9787513318396,5d43b2e851eceec5c30800f3,幻象文库,(美)刘宇昆，保罗·巴奇加卢皮等著；(美)戴维·哈特威尔，帕特里克·海登编,科幻,,2015-8,新星出版社,书籍,21世纪科幻小说杰作选,21stCenturyScienceFiction,未来的序曲,79.00元,平装,8.1,355.0,汪梅子,748
9787506023689,5d43b2ea51eceec5c30800f4,,,科幻,,2006-1,东方出版社,书籍,中国高新技术企业发展战略评判,,科幻,49.00元,平装,7.0,119.0,,292
9787511715289,5d43b2ea51eceec5c30800f5,图文馆,史蒂文·杰伊·施奈德,科幻,,2013-1,中央编译出版社,书籍,,101Sci-FiMoviesYouMustSeeBeforeYouDie,有生之年非看不可的101部科幻电影,48.00元,精装,8.6,67.0,王小亮,416
9787530659731,5d43b2ea51eceec5c30800f6,科幻文学馆,陈楸帆著,科幻,,2012-1,百花文艺出版社,书籍,陈楸帆科幻小说选本,,薄码,38.00元,平装,7.9,148.0,,300
9787536474543,5d43b2ea51eceec5c30800f7,科幻世界·中国科幻基石丛书,,科幻,科幻世界,2012-10,四川科学技术出版社,书籍,夏笳科幻佳作选,,关妖精的瓶子,32.00元,平装,7.6,325.0,,433
9787564928117,5d43b2ea51eceec5c30800f8,阿特伍德作品,,科幻,,2018-4-1,河南大学出版社,书籍,科幻小说与人类想象,InOtherWorlds,在其他的世界,48.00,精装,9.0,54.0,蔡希苑,307
9787530665947,5d43b2ea51eceec5c30800f9,科幻文学馆,,科幻,,2015-4,百花文艺出版社,书籍,,HowtoWriteScienceFiction&Fantasy,如何创作科幻小说与奇幻小说,29.00元,平装,8.1,152.0,东陆生,300
9787225014883,5d43b2ea51eceec5c30800fa,,卫斯理,科幻,,1998,青海人民出版社,书籍,卫斯理科幻小说系列：1,,钻石花,8元,平装,7.5,1230.0,,203
9787508694757,5d43b2ea51eceec5c30800fb,给孩子系列,刘慈欣,科幻,,2018-9,中信出版集团,书籍,（给孩子系列11）,,给孩子的科幻,52,,8.9,110.0,宝树,437
9787559627278,5d43b2ea51eceec5c30800fc,100：科幻之书,[美]乔治·R.R.马丁等,科幻,未读,2018-11,北京联合出版公司,书籍,100：科幻之书,TheBigBookofScienceFiction,Ⅲ沙王,,平装,9.0,70.0,胡绍晏等,536
9787802284920,5d43b2ea51eceec5c30800fd,,,科幻,,2007-11,新世界出版社,书籍,科幻经典,,大角快跑,25.00元,,8.4,1416.0,,266
9787536468832,5d43b2eb51eceec5c30800fe,世界科幻大师丛书,（美）罗伯特·海因莱因,科幻,,2009年10月,四川科学技术出版社,书籍,世界科幻大师丛书,Revoltin2100&Methuselah'sChildren,玛士撒拉之子,34.00元,平装,8.4,200.0,Denovo,432
9787536456563,5d43b2eb51eceec5c30800ff,世界科幻大师丛书,,科幻,科幻世界,2004-1-1,四川科学技术出版社,书籍,世界科幻大师丛书,TheVorGame,贵族们的游戏,18.00元,平装,8.3,872.0,宋文伟,307
9787536450431,5d43b2eb51eceec5c3080100,世界科幻大师丛书,,科幻,科幻世界,2002-10,四川科学技术出版社,书籍,罗伯特·谢克里最佳科幻小说集,,幽灵5号,24.00元,平装,8.7,699.0,,370
9787229038786,5d43b2eb51eceec5c3080101,科幻文学理论和学科体系建设丛书,,科幻,,2011-4,重庆出版社,书籍,,,科幻文学论纲,36.80元,平装,8.5,156.0,,312
9787300219752,5d43b2eb51eceec5c3080102,创意写作书系,劳丽·拉姆森,科幻,,2015-11,中国人民大学出版社,书籍,,,开始写吧！——科幻、奇幻、惊悚小说创作,39.00元,精装,7.9,122.0,唐奇,348
9787535263407,5d43b2eb51eceec5c3080103,地平线丛书,,科幻,,2014-3-1,湖北科学技术出版社,书籍,,,刘慈欣谈科幻,24.80,平装,7.7,404.0,,184
9787536459236,5d43b2eb51eceec5c3080104,世界科幻大师丛书,濑名秀明,科幻,科幻世界,2006,四川科学技术出版社,书籍,世界科幻大师丛书,パラサイト・イヴ,寄生前夜,24.00元,平,7.6,898.0,陈可冉,378页
9787535807120,5d43b2f551eceec5c3080105,世界科幻大师丛书,,科幻,,1991-12,湖南少年儿童出版社,书籍,,,阿西莫夫科幻小说,3.15元,,9.3,235.0,施咸荣,398
9787536467552,5d43b2f551eceec5c3080106,世界科幻大师丛书,詹姆斯·布利什,科幻,科幻世界,2009-03-01,四川科学技术出版社,书籍,世界科幻大师丛书,ACaseofConscience,事关良心,18.00元,平装,7.6,363.0,崔正男,276
9787536482210,5d43b2f551eceec5c3080107,科幻世界·中国科幻基石丛书,张冉,科幻,科幻世界,2015-11,四川科学技术出版社,书籍,张冉中短篇科幻小说选,,起风之城,34.00元,平装,8.7,367.0,,390
9787539706092,5d43b2f751eceec5c3080108,,刘兴诗,科幻,,1991,安徽少年儿童出版社,书籍,中国科幻作品精选(1985-1989),,死亡星球的复活,6.50,平装本,8.8,42.0,,597
9787220101960,5d43b2f751eceec5c3080109,,侯大伟,科幻,八光分文化,2017-9,四川人民出版社,书籍,四川科幻口述史,,追梦人,120.00元,平装,8.9,33.0,,400
9787108013217,5d43b2f751eceec5c308010a,三联·三地葵文学系列,,科幻,,2000-03,三联书店,书籍,,,城 科幻三部曲,36.00,平装,7.7,67.0,,545
